"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ctsl",7.87915237830429e-143,0.485297236398146,0.387,0.13,4.4713401831639e-138,"KO","Ctsl"
"Lhfpl2",8.48128105558939e-142,0.434134630551106,0.351,0.108,4.81304218623642e-137,"KO","Lhfpl2"
"Flna",1.45356624171724e-141,0.401009908786641,0.416,0.147,8.24884306512118e-137,"KO","Flna"
"Ssb",2.80608582380731e-140,0.445211530094524,0.46,0.181,1.59242564415241e-135,"KO","Ssb"
"Vcan",2.73808188859809e-139,0.37356709198446,0.371,0.121,1.55383409096053e-134,"KO","Vcan"
"Sfpq",4.98502048679584e-139,0.425268203822613,0.497,0.207,2.82894927605177e-134,"KO","Sfpq"
"Vcl",1.1625273862942e-138,0.465259562753095,0.389,0.137,6.59722666448096e-134,"KO","Vcl"
"Lrrfip1",1.81002526825678e-138,0.415318212507844,0.533,0.232,1.02717123948304e-133,"KO","Lrrfip1"
"Runx1",2.88760011938988e-137,0.643949647453836,0.695,0.39,1.63868419175256e-132,"KO","Runx1"
"Tpm4",1.21171659362493e-136,0.415617679214858,0.347,0.109,6.87637049716214e-132,"KO","Tpm4"
"Slc25a4",1.78809847029898e-135,0.45495475629695,0.27,0.065,1.01472800090997e-130,"KO","Slc25a4"
"Ran",2.34289378543288e-135,0.432068865403428,0.309,0.088,1.3295687942953e-130,"KO","Ran"
"Cdv3",2.34769225365719e-135,0.376389035322399,0.256,0.057,1.33229187702792e-130,"KO","Cdv3"
"Anxa2",4.60480647108281e-135,0.415383236130446,0.562,0.257,2.61318162427478e-130,"KO","Anxa2"
"Sh3bgrl3",5.87181650962411e-134,0.388755984002874,0.335,0.102,3.33219715104658e-129,"KO","Sh3bgrl3"
"Esyt2",9.92331494896531e-134,0.475889284682269,0.512,0.225,5.63138200038832e-129,"KO","Esyt2"
"Top2a",1.58091023656615e-133,0.723570827275195,0.314,0.096,8.97150750148922e-129,"KO","Top2a"
"Prpf38b",5.25514683418738e-133,0.337189293969133,0.535,0.232,2.98224327693299e-128,"KO","Prpf38b"
"Rack1",6.10806102939643e-133,0.377269333207924,0.43,0.164,3.46626355357218e-128,"KO","Rack1"
"Otud4",1.22389413888706e-132,0.341747700132107,0.328,0.099,6.9454768487702e-128,"KO","Otud4"
"Ipo7",1.75748720001667e-132,0.416858610287842,0.384,0.136,9.97356411137458e-128,"KO","Ipo7"
"Apobr",4.63544722368995e-132,0.504449981038628,0.228,0.044,2.63056994497181e-127,"KO","Apobr"
"Hnrnpa3",1.07533796594674e-131,0.396028502000806,0.474,0.196,6.10243542295114e-127,"KO","Hnrnpa3"
"Ncor2",1.12940612241493e-131,0.42266045426419,0.544,0.249,6.40926680409251e-127,"KO","Ncor2"
"Ywhae",3.70985058074256e-131,0.364794458503073,0.46,0.185,2.10530310606559e-126,"KO","Ywhae"
"Gm2115",8.82473955567536e-131,0.437554269550691,0.278,0.073,5.00795145045021e-126,"KO","Gm2115"
"Filip1l",2.31035167763255e-130,0.319591051713125,0.476,0.194,1.3111014735397e-125,"KO","Filip1l"
"Gcnt1",7.10705203657417e-130,0.396918939080789,0.264,0.064,4.03318096023548e-125,"KO","Gcnt1"
"Anxa1",1.33317044457156e-129,0.503750488295569,0.37,0.13,7.56560895589917e-125,"KO","Anxa1"
"Cenpf",1.79644520661053e-129,0.776597096912093,0.243,0.056,1.01946469029941e-124,"KO","Cenpf"
"Wnk1",1.89926149765038e-129,0.423257806719278,0.605,0.302,1.07781190730161e-124,"KO","Wnk1"
"Rab31",3.29074777924903e-129,0.417360232036891,0.361,0.125,1.86746645724603e-124,"KO","Rab31"
"Kcnn4",3.4034562703181e-129,0.347021489068908,0.38,0.132,1.93142739884282e-124,"KO","Kcnn4"
"Pnn",3.48099212595304e-129,0.348653853119024,0.403,0.148,1.97542822155709e-124,"KO","Pnn"
"Ywhag",3.78719518262796e-129,0.395814521600384,0.33,0.103,2.14919539418954e-124,"KO","Ywhag"
"Dst",1.1069170814012e-128,0.527663227616129,0.635,0.343,6.28164374524365e-124,"KO","Dst"
"Syncrip",1.41244742437504e-128,0.355465555720607,0.364,0.124,8.01549788858594e-124,"KO","Syncrip"
"Krt18",4.2712705877893e-128,0.356388323466028,0.364,0.125,2.42390334586455e-123,"KO","Krt18"
"Axl",8.65864526067239e-128,0.359316974224426,0.357,0.122,4.91369459897898e-123,"KO","Axl"
"Itgb1",1.07862297114449e-127,0.397127045973384,0.482,0.205,6.12107749894785e-123,"KO","Itgb1"
"Set",1.89923531197246e-127,0.34905255865277,0.387,0.14,1.07779704719125e-122,"KO","Set"
"Cenpe",3.09180818287606e-127,0.677855115760263,0.254,0.063,1.75457022570034e-122,"KO","Cenpe"
"Anln",4.04097563725301e-127,0.515946966583827,0.248,0.058,2.29321326438471e-122,"KO","Anln"
"Ldha",5.74353732020572e-127,0.441542067827261,0.325,0.103,3.25939999384354e-122,"KO","Ldha"
"Rsl1d1",3.97434323964462e-126,0.367760246554685,0.233,0.05,2.25540004506592e-121,"KO","Rsl1d1"
"Pabpc4",5.01450996760149e-126,0.369400816763833,0.286,0.08,2.84568426151417e-121,"KO","Pabpc4"
"Slc12a2",5.39339848581131e-126,0.375677907408588,0.248,0.057,3.06069970671306e-121,"KO","Slc12a2"
"Hspb1",7.08137909087227e-126,0.521030671142681,0.288,0.082,4.01861182027911e-121,"KO","Hspb1"
"Rpl19",9.33679057969798e-126,0.373774752080382,0.299,0.088,5.2985352860728e-121,"KO","Rpl19"
"Rad21",1.01270111917809e-125,0.415440222657708,0.303,0.091,5.74697758122374e-121,"KO","Rad21"
"Kif20b",1.48146827651116e-125,0.576063256703507,0.222,0.045,8.40718432237318e-121,"KO","Kif20b"
"Hspa4l",1.83545911984616e-125,0.405162716224937,0.272,0.072,1.0416046959215e-120,"KO","Hspa4l"
"Myo10",1.88016447571108e-125,0.37424755170041,0.459,0.19,1.06697453832128e-120,"KO","Myo10"
"Septin7",2.34024158052398e-125,0.373165963022027,0.403,0.152,1.32806369453155e-120,"KO","Septin7"
"Col6a1",4.86246693197216e-125,0.471899458942227,0.288,0.083,2.75940135922488e-120,"KO","Col6a1"
"S100a4",4.8759779775473e-125,0.368339755621933,0.392,0.143,2.76706874247832e-120,"KO","S100a4"
"Eprs",5.14283299329116e-124,0.30444385373484,0.291,0.083,2.9185062953628e-119,"KO","Eprs"
"Odc1",2.9368494944225e-123,0.437745747072481,0.24,0.055,1.66663271958983e-118,"KO","Odc1"
"Rgs17",1.84915571831967e-122,0.391351956012157,0.313,0.098,1.04937737858923e-117,"KO","Rgs17"
"Gm48099",5.45782905353436e-122,0.375561674686154,0.433,0.174,3.09726340959022e-117,"KO","Gm48099"
"Arhgap30",5.97477146248381e-122,0.29176189209093,0.404,0.152,3.39062305724494e-117,"KO","Arhgap30"
"Zfp91",7.94828713512467e-122,0.326757457508969,0.472,0.202,4.5105734663119e-117,"KO","Zfp91"
"Smc1a",1.12153507873608e-121,0.371428366464105,0.361,0.129,6.36459941831937e-117,"KO","Smc1a"
"Mybbp1a",1.53647550330494e-121,0.352232931909412,0.251,0.062,8.71934483370521e-117,"KO","Mybbp1a"
"Uck2",1.86503135219523e-121,0.426119025373167,0.356,0.126,1.05838664205727e-116,"KO","Uck2"
"Sf3b2",3.38693239321561e-121,0.345872811711584,0.39,0.146,1.92205026382592e-116,"KO","Sf3b2"
"Rpl12",2.96842063683772e-120,0.405584425952314,0.483,0.212,1.68454902719904e-115,"KO","Rpl12"
"Hspa4",4.19669854612339e-120,0.342068893064877,0.401,0.155,2.38158445793956e-115,"KO","Hspa4"
"S100a10",1.33386526603926e-119,0.330962532709017,0.312,0.098,7.56955199824619e-115,"KO","S100a10"
"Pa2g4",5.43164937097838e-119,0.332373001956335,0.24,0.058,3.08240670153652e-114,"KO","Pa2g4"
"Cep250",7.43780838406254e-119,0.397436519521559,0.236,0.056,4.22088187987165e-114,"KO","Cep250"
"Atp5b",8.68068915552866e-119,0.308393580437793,0.344,0.118,4.92620428887096e-114,"KO","Atp5b"
"Fosl1",8.90295599648793e-119,0.383417910128629,0.207,0.039,5.05233849844694e-114,"KO","Fosl1"
"Rpl5",1.76949100149729e-118,0.347564912937533,0.461,0.197,1.0041684484397e-113,"KO","Rpl5"
"Bdp1",1.91186535296783e-118,0.301009199861674,0.308,0.097,1.08496446915571e-113,"KO","Bdp1"
"Slc2a1",2.885313389405e-118,0.52842351525523,0.334,0.115,1.63738649535344e-113,"KO","Slc2a1"
"Hnrnph1",2.97516183444427e-118,0.335813320349003,0.347,0.12,1.68837458942878e-113,"KO","Hnrnph1"
"Naca",5.5919643686159e-118,0.361525906345231,0.369,0.135,3.17338385954584e-113,"KO","Naca"
"Pvt1",6.87448001655104e-118,0.420148819103878,0.485,0.219,3.90119866459255e-113,"KO","Pvt1"
"Kirrel",7.75662295536522e-118,0.338272692234332,0.306,0.097,4.40180596094021e-113,"KO","Kirrel"
"Gpr137b",9.10131991439768e-118,0.408080256545789,0.229,0.052,5.16490803822154e-113,"KO","Gpr137b"
"Epb41l2",2.41031030776997e-117,0.270448491859129,0.556,0.258,1.36782699655638e-112,"KO","Epb41l2"
"Eif2s2",2.7798066167698e-117,0.283040666326279,0.339,0.116,1.5775124569507e-112,"KO","Eif2s2"
"Calm2",3.82834333142492e-117,0.336787469587281,0.324,0.108,2.17254655715033e-112,"KO","Calm2"
"Ldlr",8.76500557513661e-117,0.330083288381512,0.334,0.114,4.97405301383427e-112,"KO","Ldlr"
"Abcf1",1.31266895872308e-116,0.293898632682305,0.322,0.106,7.44926507385763e-112,"KO","Abcf1"
"Acsl5",1.78524564853633e-116,0.320663069317219,0.289,0.087,1.01310905308788e-111,"KO","Acsl5"
"Slmap",2.35946237708097e-116,0.263229983304708,0.378,0.141,1.33897130436968e-111,"KO","Slmap"
"Setx",2.37548034098766e-116,0.399436312507046,0.32,0.107,1.34806133870709e-111,"KO","Setx"
"Dpysl3",1.01497835677793e-115,0.274092985121773,0.38,0.143,5.75990067687907e-111,"KO","Dpysl3"
"Cap1",1.05150168115855e-115,0.335154241822545,0.311,0.1,5.96716689040667e-111,"KO","Cap1"
"Nudc",1.66845445075118e-115,0.360898428069848,0.232,0.055,9.46831216256788e-111,"KO","Nudc"
"Zfp462",1.98616246676509e-115,0.333065162858462,0.369,0.139,1.12712733826452e-110,"KO","Zfp462"
"B3gnt3",2.50200456224221e-115,0.359591765905593,0.199,0.038,1.41986256902683e-110,"KO","B3gnt3"
"Nid1",3.94248011893641e-115,0.332335592227764,0.374,0.142,2.23731804269522e-110,"KO","Nid1"
"Fubp1",7.33267456422113e-115,0.256877523039928,0.36,0.13,4.16121948844985e-110,"KO","Fubp1"
"Sema3e",8.81198597206601e-115,0.341989418845502,0.306,0.099,5.00071391928774e-110,"KO","Sema3e"
"Eif4g1",9.00705389289157e-115,0.3340090276841,0.442,0.185,5.11141301367704e-110,"KO","Eif4g1"
"Nsd2",1.05372479171248e-114,0.302290111912113,0.303,0.096,5.97978282048913e-110,"KO","Nsd2"
"Eif3c",1.33329896319443e-114,0.307961909582421,0.383,0.147,7.56633828623206e-110,"KO","Eif3c"
"Hnrnpab",2.98434147944797e-114,0.353503029467267,0.248,0.065,1.69358394617193e-109,"KO","Hnrnpab"
"Tln1",3.83168887496971e-114,0.293126927654343,0.425,0.173,2.17444511965656e-109,"KO","Tln1"
"Riok3",4.74051455520278e-114,0.330571553316589,0.379,0.144,2.69019460493203e-109,"KO","Riok3"
"Msln",6.56139101565395e-114,0.36629071178039,0.218,0.048,3.72352378747346e-109,"KO","Msln"
