"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gm47283",1.87261397383859e-11,0.452410859362882,0.423,0.261,1.06268970401366e-06,"KO","Gm47283"
"Eif3a",4.9575391332777e-11,0.36249758249861,0.481,0.308,2.81335388274376e-06,"KO","Eif3a"
"Syncrip",3.07699232861522e-10,0.364628434672511,0.181,0.082,1.74616237656585e-05,"KO","Syncrip"
"Hnrnpd",3.32868405013676e-10,0.4248898615035,0.2,0.097,1.88899491161211e-05,"KO","Hnrnpd"
"Ralgps1",4.98648789121502e-10,0.533751793958073,0.11,0.038,2.82978201338561e-05,"KO","Ralgps1"
"Ddx21",6.11197521283068e-10,0.426645323379884,0.138,0.055,3.46848481352928e-05,"KO","Ddx21"
"Chst11",1.33320628586616e-09,0.470563965838852,0.158,0.07,7.56581235166189e-05,"KO","Chst11"
"Atg4a",3.02748146792782e-09,0.452613356759517,0.171,0.082,0.000171806545823436,"KO","Atg4a"
"Mrc1",3.45084520953006e-09,0.567558844495758,0.15,0.066,0.000195832014795621,"KO","Mrc1"
"Gpi1",4.29664781299998e-09,0.450392414638193,0.219,0.117,0.000243830466739936,"KO","Gpi1"
"Snx2",6.26529517971828e-09,0.267720186276641,0.137,0.058,0.000355549236153833,"KO","Snx2"
"Clec4n",6.75766622773511e-09,0.384663815324799,0.105,0.038,0.00038349080075774,"KO","Clec4n"
"Htr7",9.35503224242618e-09,0.306575355744487,0.203,0.104,0.000530888724725443,"KO","Htr7"
"Golgb1",9.72698242209341e-09,0.312007946297525,0.163,0.078,0.000551996525471379,"KO","Golgb1"
"Itga9",1.28672885724001e-08,0.470912751951913,0.142,0.065,0.000730205759195134,"KO","Itga9"
"Fgr",2.19651840927928e-08,0.354384220851063,0.22,0.12,0.0012465022320819,"KO","Fgr"
"Slk",2.21872722427654e-08,0.278112389047771,0.259,0.147,0.00125910551250469,"KO","Slk"
"Dst",2.3340114781573e-08,0.454289728871623,0.234,0.133,0.00132452817373949,"KO","Dst"
"Ybx1",2.74535116835166e-08,0.295635086733323,0.24,0.135,0.00155795933452789,"KO","Ybx1"
"Apobr",5.94885611354913e-08,0.449798921614866,0.106,0.043,0.003375916355878,"KO","Apobr"
"Cd300lf",7.78844731533415e-08,0.316064937798006,0.192,0.104,0.00441986596697898,"KO","Cd300lf"
"Ppp1r9b",1.32273552997428e-07,0.251206475560799,0.162,0.082,0.00750639185905103,"KO","Ppp1r9b"
"Ehbp1l1",1.48666115079915e-07,0.346594529816441,0.165,0.085,0.00843665336467009,"KO","Ehbp1l1"
"Uck2",2.00572254195382e-07,0.285301656619566,0.128,0.059,0.0113822748533337,"KO","Uck2"
"Thbs1",3.26216941754159e-07,0.553674747779572,0.332,0.225,0.0185124852276068,"KO","Thbs1"
"Rbpj",4.22710253467914e-07,0.284909335945725,0.329,0.211,0.0239883841740507,"KO","Rbpj"
"Tmem131",5.0018746214806e-07,0.277564492054532,0.181,0.098,0.0283851382894402,"KO","Tmem131"
"S100a9",7.34501153392902e-07,0.353730765690347,0.1,0.043,0.0416822059538938,"KO","S100a9"
"Gbp2",7.56701973780605e-07,0.359857688133144,0.3,0.196,0.0429420803100755,"KO","Gbp2"
"Cd74",1.81313994080501e-41,1.04594958934836,0.723,0.544,1.02893878500744e-36,"WT","Cd74"
"Saa3",5.97759975690048e-29,1.75934482282373,0.378,0.184,3.39222808604345e-24,"WT","Saa3"
"Dock10",3.55413738960286e-24,1.12401739203233,0.562,0.445,2.01693742722573e-19,"WT","Dock10"
"Dennd4a",1.57734312389122e-23,1.09450608614495,0.475,0.312,8.9512644937703e-19,"WT","Dennd4a"
"Fth1",3.91915914706607e-23,1.18855371199813,0.711,0.648,2.22408362436852e-18,"WT","Fth1"
"H2-Ab1",3.52374887055443e-22,1.09834404600655,0.451,0.293,1.99969224655093e-17,"WT","H2-Ab1"
"Kdm6b",7.57870781642278e-22,1.13913343792039,0.418,0.26,4.30084089874176e-17,"WT","Kdm6b"
"Abi1",1.98556277840239e-21,1.4254563594443,0.462,0.325,1.12678702111557e-16,"WT","Abi1"
"C3",2.60138847526923e-20,1.13388521687094,0.372,0.216,1.47626194583054e-15,"WT","C3"
"B2m",3.07425521518694e-20,1.11077144209677,0.43,0.297,1.74460909206644e-15,"WT","B2m"
"Actb",1.34619350734615e-19,0.748054659286699,0.67,0.607,7.63951353483866e-15,"WT","Actb"
"Ly6a",1.84958451658738e-19,1.29654225185006,0.272,0.129,1.04962071731817e-14,"WT","Ly6a"
"Ftl1",2.0184412217813e-19,1.0474303119447,0.537,0.425,1.14544520894867e-14,"WT","Ftl1"
"Ccl5",3.30651401759408e-18,1.36597594843627,0.153,0.042,1.87641363984447e-13,"WT","Ccl5"
"Pstpip2",1.50293517517511e-17,1.07437726537098,0.419,0.281,8.52900682560125e-13,"WT","Pstpip2"
"Nfkb1",8.30789168427318e-17,0.969565340932121,0.446,0.326,4.71464545190819e-12,"WT","Nfkb1"
"Nfkbia",8.49206590795338e-16,0.810625435617814,0.466,0.344,4.81916248210446e-11,"WT","Nfkbia"
"Lrmda",9.63197834495421e-15,0.596861350928226,0.715,0.682,5.46605139097806e-10,"WT","Lrmda"
"AW112010",2.67094031690285e-14,1.0261841352426,0.163,0.061,1.5157319204392e-09,"WT","AW112010"
"Tmsb4x",3.21119539072403e-14,0.704263433668801,0.611,0.552,1.82232127228198e-09,"WT","Tmsb4x"
"Ptprj",3.90605709105356e-14,0.720356215900656,0.623,0.571,2.21664833860198e-09,"WT","Ptprj"
"Lyz2",1.91598385659782e-13,0.871377708982049,0.462,0.37,1.08730167878069e-08,"WT","Lyz2"
"Arhgap15",4.97936055910463e-13,0.754661677312848,0.489,0.392,2.82573732368629e-08,"WT","Arhgap15"
"Il1b",1.00092277824531e-12,1.03365206097366,0.454,0.359,5.68013667426429e-08,"WT","Il1b"
"Cflar",9.7552739596209e-12,0.808940191693264,0.345,0.232,5.53602041934527e-07,"WT","Cflar"
"Gpx1",1.25483063053042e-11,0.986745089246021,0.2,0.101,7.12103834519709e-07,"WT","Gpx1"
"Hdac9",1.38700037377054e-11,1.30452704744966,0.21,0.114,7.87108842111043e-07,"WT","Hdac9"
"Slc16a10",5.83801686258822e-11,0.9210815915638,0.216,0.118,3.31301618935019e-06,"WT","Slc16a10"
"H2-Aa",8.84132626519712e-11,0.902308783786255,0.278,0.179,5.01736424223671e-06,"WT","H2-Aa"
"H2-D1",1.35598533292331e-10,0.691749968673284,0.518,0.466,7.69508116580647e-06,"WT","H2-D1"
"Cd83",2.05279813482791e-10,1.02316254246633,0.154,0.071,1.16494241353349e-05,"WT","Cd83"
"Ifrd1",4.6781995687971e-10,0.638672497042461,0.466,0.377,2.65483147329667e-05,"WT","Ifrd1"
"Slc7a2",4.69466532702969e-10,1.25122472092647,0.214,0.121,2.66417562643608e-05,"WT","Slc7a2"
"Malt1",5.17348025675392e-10,0.727911414087758,0.436,0.34,2.93589831090528e-05,"WT","Malt1"
"Nfe2l2",9.24170715968631e-10,0.848479110277455,0.347,0.258,5.24457639605038e-05,"WT","Nfe2l2"
"Pld4",1.12591138229939e-09,0.878439813989006,0.199,0.112,6.3894345034108e-05,"WT","Pld4"
"Prdx5",1.49163532246681e-09,0.903285244500363,0.284,0.191,8.4648812914669e-05,"WT","Prdx5"
"Rab8b",2.41729478473907e-09,0.677665391469524,0.467,0.397,0.000137179061739158,"WT","Rab8b"
"Ptgs2",4.48489326618696e-09,0.991613568279719,0.342,0.258,0.000254513207962844,"WT","Ptgs2"
"C1qa",5.1481148720201e-09,1.08623336456698,0.247,0.161,0.000292150370872268,"WT","C1qa"
"Ms4a8a",6.95614982718071e-09,0.873050602881155,0.129,0.057,0.000394754546542678,"WT","Ms4a8a"
"Lpl",7.77699755829868e-09,0.703551695604006,0.189,0.104,0.000441336834435892,"WT","Lpl"
"St3gal1",7.91105211365095e-09,0.847219555402659,0.226,0.141,0.000448944296397578,"WT","St3gal1"
"Arl5c",8.50097659315821e-09,0.889343569436831,0.104,0.04,0.000482421920685135,"WT","Arl5c"
"Zeb2",1.21737737863764e-08,0.42958145145136,0.742,0.747,0.000690849488603076,"WT","Zeb2"
"Zfp36",1.27772711992449e-08,0.806479004519331,0.246,0.158,0.00072509736328595,"WT","Zfp36"
"Aff1",1.31325661181455e-08,0.801508929981083,0.405,0.341,0.000745259994638638,"WT","Aff1"
"Cybb",2.52409986139006e-08,0.74325647387703,0.317,0.233,0.00143240143034025,"WT","Cybb"
"Cxcl10",2.57279498521516e-08,1.04474881003693,0.266,0.182,0.00146003542615975,"WT","Cxcl10"
"Foxp4",2.68357037600851e-08,0.836070934481506,0.114,0.05,0.00152289935268107,"WT","Foxp4"
"Foxp1",2.88305853551048e-08,0.767390162543991,0.331,0.242,0.00163610688831684,"WT","Foxp1"
"Syk",3.70900634323169e-08,0.678848801230528,0.376,0.297,0.00210482400972055,"WT","Syk"
"Fnip2",5.24470656653804e-08,0.692954695009241,0.363,0.285,0.00297631852944467,"WT","Fnip2"
"Zc3h12c",5.39521086935725e-08,0.776913700464742,0.107,0.046,0.00306172821625155,"WT","Zc3h12c"
"Spag9",5.63356480890292e-08,0.683416002699625,0.468,0.422,0.00319699169340432,"WT","Spag9"
"Cfb",6.38343959566039e-08,0.835637368422093,0.213,0.131,0.00362253813614132,"WT","Cfb"
"Slc8b1",8.89604363751332e-08,0.818494991652039,0.145,0.077,0.00504841580385243,"WT","Slc8b1"
"Nr4a3",1.30087209531064e-07,0.669940926224146,0.125,0.059,0.00738231905367834,"WT","Nr4a3"
"Rbm47",1.57542468598753e-07,0.750032455497378,0.389,0.331,0.00894037755051066,"WT","Rbm47"
"Ctsd",1.72445885822694e-07,0.770105587458625,0.183,0.11,0.00978613157455204,"WT","Ctsd"
"C1qb",1.74925778720428e-07,0.847643250591221,0.161,0.093,0.00992686301660559,"WT","C1qb"
"Cxcl2",1.83542752155321e-07,0.624267752783941,0.372,0.286,0.0104158676420623,"WT","Cxcl2"
"H2-Eb1",1.89174349326016e-07,0.662391289815759,0.339,0.266,0.0107354551499021,"WT","H2-Eb1"
"Jdp2",2.52658334841402e-07,0.840868463314522,0.2,0.126,0.0143381078439147,"WT","Jdp2"
"Mt1",2.74191223439954e-07,0.758617219860803,0.108,0.05,0.015560077738994,"WT","Mt1"
"Plac8",2.87642292650115e-07,0.903724755918106,0.198,0.126,0.0163234124656014,"WT","Plac8"
"Nampt",4.428142078457e-07,0.654865730308327,0.396,0.333,0.0251292634810356,"WT","Nampt"
"Rffl",6.90249350099756e-07,0.750845845253213,0.2,0.129,0.039170960368811,"WT","Rffl"
"Cd38",8.70062957706396e-07,0.808221964519218,0.237,0.165,0.0493752027868803,"WT","Cd38"
