"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rn18s-rs5",2.52576413159983e-166,0.611253248015151,1,1,1.43334588704159e-161,"KO","Rn18s-rs5"
"Cdk8",2.71218380182065e-153,0.836083688695034,1,1,1.5391371856952e-148,"KO","Cdk8"
"Peak1",1.75421710364062e-111,2.23441864386841,0.628,0.164,9.95500664145016e-107,"KO","Peak1"
"Rpph1",1.51417684258488e-100,1.98807016148038,0.712,0.28,8.59280216398492e-96,"KO","Rpph1"
"Lars2",3.888306855198e-75,0.758874918739539,0.955,0.693,2.20657525725631e-70,"KO","Lars2"
"Gphn",5.25349183466883e-75,0.972211863495431,0.916,0.705,2.98130408125621e-70,"KO","Gphn"
"Plec",2.74352319710009e-28,0.931218299926428,0.312,0.107,1.55692197912233e-23,"KO","Plec"
"Myh9",1.77351764941594e-27,0.688474778968305,0.587,0.328,1.00645353086705e-22,"KO","Myh9"
"Il31ra",6.59911406695755e-24,0.631960269078712,0.738,0.492,3.74493124185774e-19,"KO","Il31ra"
"Cmss1",4.18030264069751e-19,0.277781187137834,0.999,0.996,2.37227994556943e-14,"KO","Cmss1"
"Abcg3",3.76281312323665e-18,0.832929084014688,0.12,0.022,2.13535881930557e-13,"KO","Abcg3"
"Tgfbi",1.69164422803863e-17,0.678689080420634,0.408,0.217,9.5999118296964e-13,"KO","Tgfbi"
"Gm48099",5.34029832739413e-17,0.554641329155312,0.227,0.086,3.03056589781289e-12,"KO","Gm48099"
"Gm5150",3.96805715862691e-16,0.705174140510521,0.102,0.017,2.25183275694919e-11,"KO","Gm5150"
"Gm15564",1.00469334405017e-13,0.371700776824357,0.211,0.087,5.7015342581503e-09,"KO","Gm15564"
"Hnrnpu",2.5186427670034e-13,0.431310144901646,0.39,0.22,1.42930458384676e-08,"KO","Hnrnpu"
"Gm19951",9.11605678614404e-13,0.569417307342215,0.951,0.902,5.17327106556888e-08,"KO","Gm19951"
"Dab2",2.08655262062855e-12,0.510403712321594,0.205,0.09,1.1840977466805e-07,"KO","Dab2"
"Fcgr2b",2.46376688803098e-12,0.537253883202157,0.158,0.06,1.3981630712887e-07,"KO","Fcgr2b"
"Cald1",5.40288186113162e-12,0.54132904700246,0.122,0.039,3.06608142737358e-07,"KO","Cald1"
"Prpf38b",1.15787046506816e-11,0.389725818737517,0.337,0.187,6.5707991022153e-07,"KO","Prpf38b"
