"","X","gene","cluster_id","p_val","p_adj.loc","p_adj.glb","filtered","mean_KO","mean_WT","FC_KO/WT","log2FC_KO/WT"
"284",284,"Ifrd1","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,604.897336876028,997.451783969186,0.606442683844771,-0.721556795197599
"1592",1592,"Cd83","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,63.5876683473878,232.47054710697,0.273529998267386,-1.87022903160145
"1655",1655,"Nfe2l2","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,275.66883441227,576.42995285909,0.47823475002462,-1.0642091303194
"4320",4320,"C3","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,273.059458117963,718.674978333474,0.379948469544824,-1.39612432836606
"4571",4571,"Cd74","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,1195.96186140189,2575.80475590077,0.464306100321511,-1.1068518588982
"4592",4592,"Fth1","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,1466.56576591302,3470.58149989916,0.422570617043752,-1.24273564024826
"7479",7479,"Plxna4","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,8.23643949210085,51.6361787811585,0.159509082324005,-2.64828952261661
"10458",10458,"C1qa","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,177.037684317714,488.20359353786,0.362630850450683,-1.46342642877129
"15380",15380,"Dennd4a","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,458.916663574407,1093.51043447875,0.419672871062417,-1.252662888868
"17407",17407,"Lrmda","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,1648.12740329892,2543.90746254865,0.647872388269863,-0.626218422117962
"18951",18951,"H2-Ab1","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,371.662434021532,909.870744938417,0.408478276820174,-1.29166873807609
"24347",24347,"Rasgef1b","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,197.20205262637,395.051305709545,0.499180865311098,-1.00236546126787
"39214",39214,"S100a6","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,530.264653458681,1250.07526156134,0.42418618283541,-1.23723046666266
"39313",39313,"Ell2","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,47.4740032443131,132.054800860251,0.359502289466578,-1.47592713648549
"39324",39324,"Ifrd1","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,362.234996362488,627.343762044009,0.577410692954457,-0.792330270081868
"39642",39642,"Ier3","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,110.507976701433,341.013381303704,0.32405759644668,-1.6256778412738
"39843",39843,"Ndrg1","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,296.935260024214,494.443405901865,0.600544483918445,-0.735656980760597
"40017",40017,"Rps9","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,200.09165888215,473.7071876525,0.422395235068573,-1.24333453476892
"40175",40175,"Rplp1","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,297.714416421684,702.186133132557,0.423982192717957,-1.23792442212009
"40871",40871,"Birc5","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,12.9952266195692,54.3452239774993,0.239123618755341,-2.0641714597005
"41312",41312,"Hsp90b1","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,844.691233958743,1138.95641713705,0.741636133963762,-0.43121655828589
"41766",41766,"Ankfy1","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,101.650324146471,271.552672525412,0.374330045074254,-1.41761724611507
"44008",44008,"Padi4","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,115.838705817179,243.443928024342,0.475833210371124,-1.07147212794633
"44094",44094,"Psmd13","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,71.927260594519,148.400309573677,0.484684033349734,-1.04488353742239
"44110",44110,"Rplp2","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,336.423339423979,919.978662903707,0.36568602402379,-1.45132260481422
"44459",44459,"Ptma","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,1041.97890753086,1509.1740222837,0.690429925340304,-0.534433098208831
"44589",44589,"Glul","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,55.8982137415756,140.281993685352,0.398470340156083,-1.32745575260943
"44590",44590,"Rgs16","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,43.2707641287756,138.126903277772,0.313268183836413,-1.67452984082554
"45091",45091,"Usp50","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,57.2854392765932,179.926425019741,0.318382579269877,-1.65116669584164
"45791",45791,"Pdpn","Activated fibroblasts",4.99975001249937e-05,0.0101530637753827,0.00640991206253641,FALSE,381.345308607732,699.893727700423,0.544861731881329,-0.876037927452062
