"","X","gene","cluster_id","p_val","p_adj.loc","p_adj.glb","filtered","mean_KO","mean_WT","FC_KO/WT","log2FC_KO/WT"
"3754",3754,"Plec","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,368.403423063626,145.637924632811,2.52958440593315,1.33890037908965
"3846",3846,"Cmss1","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,22071.6570889046,18188.483024572,1.2134963129738,0.279169725083607
"4818",4818,"Msr1","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,205.762432410397,177.406365821031,1.15983680437923,0.213921824252863
"6785",6785,"Ybx1","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,219.27799698813,160.120129370329,1.36945927942001,0.453606368451305
"7197",7197,"Abcg3","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,118.82104401949,22.8435751145696,5.20150823255796,2.37893000866447
"7403",7403,"Cdk8","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,92624.2327267727,51840.6020326373,1.78671213479464,0.837307214033582
"8005",8005,"Itgax","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,73.223953326773,17.8207100685148,4.10892456278402,2.03876084379434
"8933",8933,"Syncrip","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,163.112673311747,104.351425267032,1.56310920425234,0.64441857355813
"9921",9921,"Lars2","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,4516.17652032914,2627.96186049135,1.71850915655403,0.781157538692981
"10021",10021,"Tgfbi","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,691.695521984305,394.598070223425,1.75291156794726,0.809753215890933
"11555",11555,"Hnrnpu","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,432.613677790969,294.979925991195,1.4665868409089,0.552462499829475
"12332",12332,"Ptpre","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,163.118833953067,134.276920359393,1.21479427377749,0.280712013146912
"12791",12791,"Filip1l","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,250.737839088943,248.601845293904,1.00859202711273,0.0123427259954302
"13887",13887,"Gphn","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,4662.76009104607,2327.69303757771,2.00316795031458,1.00228338516866
"14639",14639,"Il31ra","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,1736.64113616801,1085.18271812275,1.60032140870453,0.678361685223112
"15191",15191,"Map1b","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,83.3621949764031,21.3313900937718,3.90795886296892,1.96641528089302
"16926",16926,"Maml3","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,289.110333057206,245.137821410069,1.17937873231556,0.238027083451272
"19262",19262,"Peak1","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,1429.11123340252,224.946635119022,6.35311229548449,2.66746351995828
"20031",20031,"Gm5150","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,98.3677790028907,21.6725366445141,4.53882167170267,2.18231780653881
"25468",25468,"Rpph1","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,1916.64042943555,408.346359295865,4.69366356722397,2.23071443596156
"34385",34385,"Gm19951","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,7346.32480725435,4917.99572024411,1.49376396913369,0.578952204712243
"37813",37813,"Rn18s-rs5","M2 Macrophages",4.99975001249937e-05,0.0117435304705353,0.00640991206253641,FALSE,288716.362511182,188967.216906066,1.52786481823829,0.6115169028732
"117121",117121,"Gnai3","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,67.403266530125,25.9923256068726,2.59319875987946,1.37473278810518
"117129",117129,"Klf6","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,145.70229373801,104.798251914676,1.39031225307686,0.475408937174625
