"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Bin11",1.50986931488372e-104,0.28519344539695,0.451,0.171,8.56835737503364e-100,"2","Bin1"
"Wdr1",1.5221047418293e-104,0.265567777174067,0.37,0.127,8.63779219940711e-100,"2","Wdr1"
"Hmgcs11",2.22188804660921e-104,0.358585150156232,0.283,0.083,1.26089924757026e-99,"2","Hmgcs1"
"Klc11",3.97026506216788e-104,0.279482517174451,0.469,0.183,2.25308572012965e-99,"2","Klc1"
"Adamtsl31",4.11507898463807e-104,0.306284682288315,0.409,0.149,2.33526617299226e-99,"2","Adamtsl3"
"Gm219921",4.88427799830073e-104,0.300046428934084,0.378,0.132,2.77177892125568e-99,"2","Gm21992"
"Slc25a3",5.44550746961178e-104,0.277475019981421,0.593,0.254,3.09027103392999e-99,"2","Slc25a3"
"Mprip",8.01979257881841e-104,0.314516241640372,0.524,0.217,4.55115209055366e-99,"2","Mprip"
"Flnb1",1.35824581815187e-103,0.331607704860506,0.713,0.332,7.70790919343006e-99,"2","Flnb"
"Thrap3",1.45657004757417e-103,0.261225203207766,0.513,0.21,8.26588936297863e-99,"2","Thrap3"
"Acvr11",2.60763021661688e-103,0.313302331031553,0.437,0.167,1.47980407162791e-98,"2","Acvr1"
"Ntrk31",2.78218000957476e-103,0.481606927698531,0.506,0.208,1.57885933363358e-98,"2","Ntrk3"
"Slc27a11",3.4209733701788e-103,0.36375888119198,0.318,0.101,1.94136817784277e-98,"2","Slc27a1"
"Mfhas11",3.50671380190926e-103,0.293456492209011,0.398,0.143,1.99002501544549e-98,"2","Mfhas1"
"mt-Nd2",4.34598791540173e-103,0.324368513559312,0.632,0.283,2.46630468211133e-98,"2","mt-Nd2"
"Septin81",5.8158313418921e-103,0.292712453013966,0.329,0.107,3.30042612821035e-98,"2","Septin8"
"Zcwpw1",7.24947260796232e-103,0.308743963719997,0.191,0.041,4.11400321029254e-98,"2","Zcwpw1"
"Phactr41",8.01385276588917e-103,0.285177210988142,0.401,0.145,4.54778130611444e-98,"2","Phactr4"
"Lars21",8.80069952387396e-103,0.621656062213094,0.985,0.826,4.99430897280323e-98,"2","Lars2"
"Parva1",1.31054042246263e-102,0.308010963737474,0.461,0.18,7.43718584343315e-98,"2","Parva"
"Bcr1",2.41361161653334e-102,0.26505762210648,0.447,0.171,1.3697004562665e-97,"2","Bcr"
"Gramd4",2.52380952636005e-102,0.252359216321901,0.35,0.117,1.43223666811406e-97,"2","Gramd4"
"Dync1h11",2.6705686165171e-102,0.294524840778563,0.628,0.283,1.51552098418729e-97,"2","Dync1h1"
"Zcchc241",4.12229184965562e-102,0.250588013351011,0.422,0.156,2.33935940176107e-97,"2","Zcchc24"
"Iws1",4.3599611683958e-102,0.252350046103447,0.348,0.117,2.47423436345293e-97,"2","Iws1"
"Cars1",6.23532082450276e-102,0.303897568160704,0.294,0.089,3.53848221469707e-97,"2","Cars"
"Rras21",2.98840553758024e-101,0.274637791087717,0.52,0.215,1.69589025852141e-96,"2","Rras2"
"Col6a21",3.08224389669325e-101,0.303026780351023,0.308,0.096,1.74914258893445e-96,"2","Col6a2"
"Tpt11",3.29752674204215e-101,0.324775902399895,0.57,0.245,1.8713134508415e-96,"2","Tpt1"
"Kpna3",3.52869985149055e-101,0.253320741919251,0.39,0.14,2.00250187872237e-96,"2","Kpna3"
"Cct5",3.77353869164065e-101,0.288806518927682,0.342,0.115,2.14144547211915e-96,"2","Cct5"
"Hs2st11",4.3331713117508e-101,0.307237720502463,0.474,0.188,2.45903138770546e-96,"2","Hs2st1"
"Rbm8a",5.35914069177238e-101,0.283583199767693,0.319,0.102,3.04125875117391e-96,"2","Rbm8a"
"Sox91",8.79176755925974e-101,0.342741802072259,0.304,0.095,4.98924017220431e-96,"2","Sox9"
"Gm2296",1.35958234969171e-100,0.253809432758268,0.149,0.026,7.7154938762655e-96,"2","Gm2296"
"Tinagl11",2.0429290942448e-100,0.311393136958901,0.26,0.074,1.15934183169298e-95,"2","Tinagl1"
"Wdr431",2.22760961079794e-100,0.273666908039275,0.417,0.156,1.26414617803173e-95,"2","Wdr43"
"Fam20b1",2.29908547532375e-100,0.324062176882807,0.263,0.075,1.30470801639147e-95,"2","Fam20b"
"Rps3a11",2.44501887032931e-100,0.291222589587621,0.532,0.222,1.38752375872318e-95,"2","Rps3a1"
"Las1l1",2.9592497641405e-100,0.2904718910078,0.404,0.149,1.67934464865209e-95,"2","Las1l"
"Snrpd3",3.48338772145265e-100,0.264439110054259,0.33,0.109,1.97678769804716e-95,"2","Snrpd3"
"Srsf1",6.77522670808919e-100,0.287334550158312,0.321,0.105,3.84487340457353e-95,"2","Srsf1"
"Gm14164",2.41803617005254e-99,0.27177542809528,0.413,0.155,1.37221134614311e-94,"2","Gm14164"
"Ptp4a21",6.11508934260022e-99,0.306881772532736,0.714,0.34,3.4702520510322e-94,"2","Ptp4a2"
"Thsd41",6.34897545682306e-99,0.335911764456314,0.658,0.303,3.60298008199252e-94,"2","Thsd4"
"Tanc11",6.86370187722911e-99,0.254649162502367,0.541,0.229,3.89508217830875e-94,"2","Tanc1"
"Cyb5r3",6.88786018570076e-99,0.25707354381783,0.405,0.15,3.90879177678333e-94,"2","Cyb5r3"
"Lsm2",7.15275328264843e-99,0.293972502020964,0.173,0.035,4.05911596037016e-94,"2","Lsm2"
"Lig1",7.24248852813599e-99,0.312292474925758,0.24,0.065,4.11003981483189e-94,"2","Lig1"
"Foxj3",8.08574619093015e-99,0.253324796259209,0.368,0.13,4.58858010589095e-94,"2","Foxj3"
"Scarb11",8.57222641471032e-99,0.302325095186805,0.362,0.128,4.86465276808396e-94,"2","Scarb1"
"Sf3b31",8.68484224242894e-99,0.26177195958441,0.392,0.143,4.928561124156e-94,"2","Sf3b3"
"Lman11",1.10573936182561e-98,0.316906208421681,0.314,0.102,6.27496030442417e-94,"2","Lman1"
"Pabpc11",1.20773957102875e-98,0.5324646607937,0.877,0.509,6.85380129163106e-94,"2","Pabpc1"
"Lpgat1",1.23686002255607e-98,0.262750034162913,0.329,0.109,7.01905694200345e-94,"2","Lpgat1"
"Pdgfa1",1.32474899705802e-98,0.362539499292076,0.268,0.079,7.51781808340454e-94,"2","Pdgfa"
"Odf2l",2.32983769083693e-98,0.274236166134778,0.223,0.057,1.32215959117305e-93,"2","Odf2l"
"Gnl31",2.43382823789554e-98,0.283652960729634,0.325,0.108,1.38117318672334e-93,"2","Gnl3"
"Rpph11",2.71583841991933e-98,0.934552866699905,0.906,0.547,1.54121114492002e-93,"2","Rpph1"
"Fxr11",3.11737276735063e-98,0.275719469575855,0.443,0.173,1.76907787174381e-93,"2","Fxr1"
"Rpl231",4.35426139622129e-98,0.358799175687075,0.78,0.387,2.47099979974162e-93,"2","Rpl23"
"Cchcr1",1.98642726252279e-97,0.263785372486614,0.209,0.051,1.12727760720906e-92,"2","Cchcr1"
"Smarcc1",2.08172680390298e-97,0.250575390474695,0.487,0.198,1.1813591439469e-92,"2","Smarcc1"
"Nars1",3.10330913388934e-97,0.277583536930417,0.415,0.157,1.76109690039086e-92,"2","Nars"
"Phlda11",3.25769299222535e-97,0.262565715308739,0.527,0.224,1.84870819615797e-92,"2","Phlda1"
"Ptprn",3.72972375305234e-97,0.289245405290074,0.208,0.051,2.11658093261967e-92,"2","Ptprn"
"Bace1",4.6497063405597e-97,0.276599773818355,0.215,0.054,2.63866185120422e-92,"2","Bace1"
"Spaca61",4.82283950415552e-97,0.36658573127747,0.434,0.17,2.73691319021322e-92,"2","Spaca6"
"Slc30a41",5.43236107967379e-97,0.326854613580946,0.279,0.086,3.08281058910408e-92,"2","Slc30a4"
"Tulp41",1.07935330555704e-96,0.290195020363936,0.517,0.215,6.12522207370563e-92,"2","Tulp4"
"H1f0",1.6747261088154e-96,0.325614294611618,0.212,0.053,9.50390319491649e-92,"2","H1f0"
"Acap11",1.69357927832336e-96,0.278971624219734,0.31,0.101,9.61089304655725e-92,"2","Acap1"
"Rpl71",1.99781276235827e-96,0.266277918289644,0.515,0.215,1.13373876451069e-91,"2","Rpl7"
"Prrc2c1",2.19734833227274e-96,0.473836203832681,0.889,0.51,1.24697320508146e-91,"2","Prrc2c"
"Runx11",3.86183879146835e-96,0.466752200940451,0.901,0.512,2.19155489577037e-91,"2","Runx1"
"Srpk1",4.6402786535624e-96,0.252603279954201,0.329,0.111,2.63331173311012e-91,"2","Srpk1"
"Tm9sf31",5.22312984114097e-96,0.250842787831508,0.51,0.214,2.96407395354909e-91,"2","Tm9sf3"
"Tuba4a",5.95375796516157e-96,0.291793056655856,0.225,0.059,3.37869810764954e-91,"2","Tuba4a"
"Emp21",6.73176963190911e-96,0.292083280871647,0.28,0.086,3.8202119484121e-91,"2","Emp2"
"Etv4",7.82626837731262e-96,0.289965479289101,0.207,0.051,4.44132904144114e-91,"2","Etv4"
"Cct31",8.17426248989052e-96,0.275576586221676,0.319,0.105,4.63881222038797e-91,"2","Cct3"
"Extl11",8.89771028672246e-96,0.292221843641011,0.271,0.081,5.04936161061213e-91,"2","Extl1"
"Zwint",1.33753739243609e-95,0.290589129429882,0.284,0.088,7.59039094833555e-91,"2","Zwint"
"Rabggtb1",1.4786894887055e-95,0.307286056890871,0.269,0.08,8.39141497945487e-91,"2","Rabggtb"
"Tuba1a",1.71011291497428e-95,0.273417958456168,0.205,0.05,9.70471978118755e-91,"2","Tuba1a"
"Arhgap101",1.93609584770383e-95,0.320865788121901,0.669,0.315,1.09871503261345e-90,"2","Arhgap10"
"Afap1l21",2.83391708882995e-95,0.277574325844293,0.311,0.102,1.60821960874011e-90,"2","Afap1l2"
"Slco1a5",2.92897120491357e-95,0.287459769760496,0.211,0.053,1.6621618690764e-90,"2","Slco1a5"
"Fst1",3.92472214154037e-95,0.276141380214296,0.206,0.051,2.22724056810274e-90,"2","Fst"
"Impdh2",5.34176612406615e-95,0.257618266919941,0.21,0.053,3.0313988577463e-90,"2","Impdh2"
"Anxa51",6.49986803397686e-95,0.271178416164235,0.415,0.159,3.68861011060153e-90,"2","Anxa5"
"Cnn3",8.03231393618425e-95,0.255242819968732,0.312,0.103,4.5582578356452e-90,"2","Cnn3"
"Gm100761",1.10913931444602e-94,0.306726827757718,0.488,0.203,6.2942546955497e-90,"2","Gm10076"
"Rpl36a1",1.27765126481712e-94,0.298739725856134,0.461,0.186,7.25054316271066e-90,"2","Rpl36a"
"Col16a11",2.93687996322382e-94,0.274493924131956,0.312,0.103,1.66665001032989e-89,"2","Col16a1"
"Atp1b11",4.30226402330621e-94,0.297944213886268,0.257,0.076,2.44149181058604e-89,"2","Atp1b1"
"Gm101101",4.60936834311366e-94,0.255179861701529,0.182,0.041,2.61577044103357e-89,"2","Gm10110"
"Slf2",4.92242057477663e-94,0.278027738414761,0.334,0.115,2.79342445197999e-89,"2","Slf2"
"Zcchc141",5.53315035577004e-94,0.300151802553452,0.284,0.09,3.14000749539594e-89,"2","Zcchc14"
"Ngfr",5.83859101806974e-94,0.271103914731347,0.166,0.034,3.3133420168444e-89,"2","Ngfr"
"Haus6",8.16343783156071e-94,0.252319238386745,0.17,0.036,4.63266933503239e-89,"2","Haus6"
"Nmt21",1.03141849761278e-93,0.253180425288667,0.328,0.112,5.85319683210277e-89,"2","Nmt2"
"H3f3b1",1.07440546329237e-93,0.341754976554496,0.693,0.335,6.09714356363784e-89,"2","H3f3b"
"Gm155641",1.59558275134002e-93,0.461423886442373,0.593,0.273,9.05477255557945e-89,"2","Gm15564"
"Rps261",2.27549829621852e-93,0.34145204252964,0.705,0.346,1.29132252812105e-88,"2","Rps26"
"Mcm3",2.40829656445156e-93,0.259587639839032,0.228,0.061,1.36668421736062e-88,"2","Mcm3"
"Tubb3",4.71465063514953e-93,0.264328587876332,0.15,0.028,2.67551708894101e-88,"2","Tubb3"
"Tspan91",1.13782165279443e-92,0.259622699041771,0.489,0.204,6.45702409744312e-88,"2","Tspan9"
"Iffo21",2.51944193651402e-92,0.277245122570468,0.333,0.116,1.42975810455234e-87,"2","Iffo2"
"Ahdc11",2.93720275855652e-92,0.269836904721801,0.387,0.147,1.66683319345324e-87,"2","Ahdc1"
"Eif1a1",3.07409928903825e-92,0.266549108875157,0.316,0.107,1.74452060553632e-87,"2","Eif1a"
"Luc7l31",3.98182452434985e-92,0.26212865625865,0.631,0.291,2.2596455993233e-87,"2","Luc7l3"
"Inf21",5.52357176854422e-92,0.301351043159725,0.31,0.104,3.13457174293116e-87,"2","Inf2"
"Eva1c1",5.61472361548325e-92,0.375300250945521,0.278,0.088,3.18629950455059e-87,"2","Eva1c"
"Tmsb102",7.53704774430826e-92,0.340604284695942,0.805,0.418,4.27719922441749e-87,"2","Tmsb10"
"Alg8",9.21577269695951e-92,0.275403964336829,0.158,0.031,5.22985884779755e-87,"2","Alg8"
"Gpr137b1",3.69012712787749e-91,0.304056564062248,0.345,0.124,2.0941102437992e-86,"2","Gpr137b"
"Orc2",4.80180443260588e-91,0.255990661380137,0.228,0.063,2.72497599745951e-86,"2","Orc2"
"Rif1",5.27737292114503e-91,0.273854774997827,0.37,0.137,2.99485635902059e-86,"2","Rif1"
"Rpl211",7.59120736736803e-91,0.413681819368452,0.871,0.476,4.30793426890768e-86,"2","Rpl21"
"Cd631",7.26820000754983e-90,0.313697528784527,0.401,0.157,4.12463082228445e-85,"2","Cd63"
"Ap1s11",1.15925127838505e-89,0.252140407934709,0.284,0.091,6.57863507970733e-85,"2","Ap1s1"
"Dynap1",5.45469518630868e-89,0.316082588890962,0.281,0.09,3.09548497127831e-84,"2","Dynap"
"Dhcr24",5.98721658427216e-89,0.304231290777426,0.229,0.064,3.39768553940861e-84,"2","Dhcr24"
"Dusp71",6.25843042367412e-89,0.290970601761713,0.267,0.083,3.55159668113082e-84,"2","Dusp7"
"Sertad21",7.37536621703851e-89,0.306860818784792,0.441,0.182,4.18544657450718e-84,"2","Sertad2"
"Aacs",1.33089787268005e-88,0.284587994517274,0.224,0.062,7.55271233767204e-84,"2","Aacs"
"Kirrel3",1.5628527351913e-88,0.561197292924965,0.402,0.16,8.86903298693711e-84,"2","Kirrel3"
"mt-Nd6",4.60941051272175e-88,0.262968806068514,0.277,0.089,2.61579437186447e-83,"2","mt-Nd6"
"Ppp1r14b",1.19369932460563e-87,0.271499604203131,0.194,0.048,6.77412429720448e-83,"2","Ppp1r14b"
"Pcdh11",3.01832192119985e-87,0.256599271099083,0.26,0.081,1.7128675070617e-82,"2","Pcdh1"
"Glrp1",3.2935766041785e-87,0.267201969760909,0.174,0.04,1.86907178710526e-82,"2","Glrp1"
"Plet11",5.55298261171585e-87,0.264110281691319,0.268,0.085,3.15126210232263e-82,"2","Plet1"
"C770801",1.13061806778762e-86,0.276678913920946,0.357,0.133,6.41614447288796e-82,"2","C77080"
"Mre11a",1.76259836128352e-86,0.252207219970145,0.24,0.071,1.00025694404479e-81,"2","Mre11a"
"Trim241",2.82644581964116e-86,0.267151594259792,0.412,0.165,1.60397973818816e-81,"2","Trim24"
"Hells1",6.7644697566456e-86,0.252883081979161,0.238,0.07,3.83876894219881e-81,"2","Hells"
"Pam1",9.81303840299347e-86,0.254475942264701,0.641,0.305,5.56880116331476e-81,"2","Pam"
"Lonp11",1.36847315985148e-85,0.284347883790862,0.222,0.062,7.76594833484119e-81,"2","Lonp1"
"S100a61",1.5575703185899e-85,0.342180279793141,0.785,0.412,8.83905580096584e-81,"2","S100a6"
"Rplp11",2.40197816162128e-85,0.305871995208749,0.646,0.313,1.36309858693846e-80,"2","Rplp1"
"Hspa81",5.78129864432272e-85,0.425740760520494,0.892,0.545,3.2808291676667e-80,"2","Hspa8"
"Wdr891",8.39956819196346e-85,0.279226852019595,0.686,0.335,4.76667095325734e-80,"2","Wdr89"
"Dnajb11",2.10602995614203e-84,0.262592426929787,0.366,0.139,1.19515093981104e-79,"2","Dnajb1"
"Swi51",2.11695401618886e-84,0.261557523308453,0.315,0.111,1.20135023464702e-79,"2","Swi5"
"Rpl411",2.46944139096681e-84,0.354317866506834,0.745,0.386,1.40138329495976e-79,"2","Rpl41"
"Eif5b1",7.93662526555934e-84,0.342709001170495,0.791,0.413,4.50395547195227e-79,"2","Eif5b"
"Tfdp1",1.08523990500278e-83,0.269258793793328,0.247,0.077,6.15862793690026e-79,"2","Tfdp1"
"Fasn",1.42267521742397e-83,0.26413811709566,0.21,0.058,8.07353959135926e-79,"2","Fasn"
"Ftsj31",1.43032255825642e-83,0.261955026540877,0.243,0.074,8.11693748584935e-79,"2","Ftsj3"
"Rcc1",7.76351981423311e-83,0.250101911544845,0.211,0.059,4.40571985937915e-78,"2","Rcc1"
"Snhg11",8.46701536215268e-83,0.271203099004429,0.238,0.072,4.80494654786802e-78,"2","Snhg1"
"Cav11",1.96771697535041e-82,0.274087840047482,0.281,0.095,1.1166597063416e-77,"2","Cav1"
"Tnfrsf12a",2.06424276047784e-81,0.255312499603114,0.157,0.035,1.17143712414357e-76,"2","Tnfrsf12a"
"Rpl42",1.01815760362824e-80,0.396284821219532,0.863,0.487,5.77794258482991e-76,"2","Rpl4"
"Camk2d1",1.47038156685087e-80,0.287574828518512,0.75,0.383,8.344268353722e-76,"2","Camk2d"
"unknown.1541",3.61397766208168e-80,0.262756932959651,0.193,0.051,2.05089618345473e-75,"2","unknown.154"
"Loxl31",4.46148285172286e-80,0.252983057568544,0.287,0.099,2.53184690352421e-75,"2","Loxl3"
"Tnnt21",6.08889674955684e-80,0.269177042316268,0.183,0.047,3.45538801640601e-75,"2","Tnnt2"
"Rps4x1",8.81379696361619e-80,0.333387107679361,0.787,0.424,5.00174163888255e-75,"2","Rps4x"
"Eef21",2.5169517380727e-79,0.306056130556818,0.821,0.443,1.42834494183888e-74,"2","Eef2"
"mt-Cytb",2.73885023319003e-79,0.366730934276892,0.855,0.473,1.55427011883301e-74,"2","mt-Cytb"
"Rere1",1.52052951969664e-78,0.290831184523043,0.772,0.405,8.62885297132647e-74,"2","Rere"
"Tulp3",3.18833560750324e-76,0.263218986012664,0.211,0.063,1.80934857390202e-71,"2","Tulp3"
"Atrx",5.90775026754616e-76,0.288387236027562,0.778,0.408,3.35258919932977e-71,"2","Atrx"
"Immp2l1",7.21953641163968e-76,0.260753990059326,0.601,0.291,4.0970147182414e-71,"2","Immp2l"
"Rplp21",8.26983816772268e-76,0.281342580480452,0.716,0.368,4.69305046180094e-71,"2","Rplp2"
"Ccn11",3.0030098139742e-74,0.336386702538665,0.334,0.132,1.70417803933222e-69,"2","Ccn1"
"Ccng11",3.21478391231593e-73,0.252936465541489,0.237,0.078,1.82435772240017e-68,"2","Ccng1"
"Col7a11",3.65610938961796e-73,0.285425277056922,0.238,0.078,2.0748055175143e-68,"2","Col7a1"
"Rps231",1.17542852936955e-71,0.260032525869973,0.706,0.368,6.67043936131925e-67,"2","Rps23"
"Gm199511",4.17860639572218e-71,0.709887756506768,0.983,0.847,2.37131734350838e-66,"2","Gm19951"
"Msmo11",4.57570982940765e-71,0.269737866911146,0.195,0.057,2.59666957109055e-66,"2","Msmo1"
"Dip2a",1.39038356212034e-70,0.263774277455682,0.29,0.108,7.8902876766767e-66,"2","Dip2a"
"Slc35e41",3.53906445542769e-70,0.268790888275031,0.202,0.062,2.00838368781066e-65,"2","Slc35e4"
"Gm308351",7.61729784733236e-70,0.686645141135362,0.292,0.114,4.32274035538264e-65,"2","Gm30835"
"Hspa51",1.06086726649688e-69,0.28386995348515,0.805,0.45,6.02031565064316e-65,"2","Hspa5"
"Exoc4",5.27265448609355e-68,0.284558284828593,0.739,0.399,2.99217869431323e-63,"2","Exoc4"
"Eef1a11",4.53851207028589e-67,0.311303204163853,0.764,0.427,2.57556021476654e-62,"2","Eef1a1"
"Kcnu1",8.59957498474376e-66,0.2587223576375,0.219,0.073,4.88017280809224e-61,"2","Kcnu1"
"Rps121",1.03315334841893e-64,0.387160562588517,0.918,0.584,5.86304193694258e-60,"2","Rps12"
"Cdk81",2.74562443417082e-61,0.424015553546218,1,0.999,1.5581144101476e-56,"2","Cdk8"
"Rbm25",1.12929100283306e-56,0.299387417167697,0.91,0.572,6.40861351197734e-52,"2","Rbm25"
"Myh91",1.43557275733677e-56,0.312530140651301,0.892,0.569,8.14673184061044e-52,"2","Myh9"
"Camk1d2",1.87665912783126e-48,0.284622170936219,0.992,0.891,1.06498528845296e-43,"2","Camk1d"
"Rgs161",6.47456417651084e-46,0.250129687330722,0.142,0.046,3.67425042452814e-41,"2","Rgs16"
"Col6a3",4.89501951371223e-44,0.27127379764239,0.243,0.105,2.77787462383656e-39,"2","Col6a3"
"Peak11",4.10555292506161e-42,0.360095071964605,0.758,0.459,2.32986022944322e-37,"2","Peak1"
"Il31ra1",2.71732942263193e-27,0.322165769944176,0.928,0.663,1.54205727404939e-22,"2","Il31ra"
"Gm10800",3.78978972988349e-250,2.29478681833841,0.609,0.167,2.15066777381158e-245,"3","Gm10800"
"Gm10801",4.74151386563815e-248,2.42204448929765,0.585,0.158,2.690761703611e-243,"3","Gm10801"
"Dlg2",2.06223396132331e-114,1.85435180768594,0.343,0.098,1.17029715071136e-109,"3","Dlg2"
"Cntnap2",2.15353915432156e-103,1.8009453186615,0.341,0.105,1.22211193468594e-98,"3","Cntnap2"
"Asic2",2.61361518694653e-102,1.83414982244802,0.303,0.084,1.48320048244029e-97,"3","Asic2"
"Csmd1",2.75167194821744e-100,1.763964848784,0.307,0.088,1.56154631389392e-95,"3","Csmd1"
"Ptprd",2.38445716045726e-99,1.88622510756158,0.358,0.12,1.35315559398789e-94,"3","Ptprd"
"Lsamp",4.15848862207855e-96,1.83023934460317,0.322,0.1,2.35990070814335e-91,"3","Lsamp"
"Nrxn3",8.82654360854855e-83,1.7717845364972,0.307,0.102,5.00897523241522e-78,"3","Nrxn3"
"Tenm2",6.12220988033876e-82,1.77797610109174,0.26,0.075,3.47429288499344e-77,"3","Tenm2"
"Ctnna3",2.06280258615501e-79,1.75532152685177,0.274,0.085,1.1706198396171e-74,"3","Ctnna3"
"Ptprt",3.60071033596721e-78,1.76104061110357,0.259,0.077,2.04336710855803e-73,"3","Ptprt"
"Dpp10",3.86415225063165e-78,1.78144494034331,0.301,0.104,2.19286776071095e-73,"3","Dpp10"
"Pcdh15",3.06478673166927e-76,1.70372479311311,0.283,0.093,1.73923582235499e-71,"3","Pcdh15"
"Agbl4",6.03610439036021e-76,1.73491176610109,0.242,0.07,3.42542888048552e-71,"3","Agbl4"
"Gpc5",1.53505670295114e-74,1.64962284499717,0.249,0.074,8.71129328357743e-70,"3","Gpc5"
"Spag16",2.17082217911516e-73,1.704375952209,0.208,0.054,1.23191987842606e-68,"3","Spag16"
"Fgfr2",1.40643934502175e-71,1.48510734586814,0.645,0.507,7.98140263906393e-67,"3","Fgfr2"
"Dab1",2.56034332850724e-64,1.60415079966848,0.243,0.079,1.45296923549457e-59,"3","Dab1"
"Astn2",3.57401540647133e-63,1.61880748206452,0.217,0.066,2.02821800301841e-58,"3","Astn2"
"Magi2",1.02456279617401e-62,1.66524139361501,0.291,0.112,5.81429141200791e-58,"3","Magi2"
"Prkg1",2.115135562036e-62,1.62663855595152,0.286,0.107,1.20031828009981e-57,"3","Prkg1"
"Kcnip4",2.54978129018608e-62,1.65920350044581,0.22,0.068,1.4469753843677e-57,"3","Kcnip4"
"Nell1",2.093590659042e-61,1.62923435110007,0.2,0.058,1.18809176309975e-56,"3","Nell1"
"Csmd2",3.25644607618583e-60,1.58449075865587,0.193,0.055,1.8480005837747e-55,"3","Csmd2"
"Ptprn2",1.60804743510476e-58,1.54544659704377,0.206,0.063,9.125508389476e-54,"3","Ptprn2"
"Frmpd4",6.65520928729434e-58,1.51804481305964,0.198,0.059,3.77676471844666e-53,"3","Frmpd4"
"Fhit",2.84210024865897e-57,1.50075221597974,0.303,0.124,1.61286347011148e-52,"3","Fhit"
"Cntnap5a",8.05422603807846e-57,1.5540439102243,0.189,0.055,4.57069273434915e-52,"3","Cntnap5a"
"Trpm3",4.7022717577409e-55,1.56996478692914,0.214,0.07,2.66849219980038e-50,"3","Trpm3"
"Il1rapl2",6.28057996852841e-55,1.49591349717764,0.199,0.062,3.56416632634019e-50,"3","Il1rapl2"
"Alk",1.16231766049841e-54,1.54965230181085,0.2,0.063,6.59603649156245e-50,"3","Alk"
"Galntl6",1.88140708122515e-54,1.56930477808865,0.205,0.066,1.06767970452446e-49,"3","Galntl6"
"Ntm",1.79460348455504e-52,1.513905592953,0.197,0.062,1.01841953145014e-47,"3","Ntm"
"Dcc",2.08287113588968e-52,1.51939225064295,0.18,0.053,1.18200854090603e-47,"3","Dcc"
"Tmem132d",4.81030460181063e-52,1.41935856400083,0.181,0.054,2.72979975848152e-47,"3","Tmem132d"
"Ctnna2",6.97359401968963e-52,1.49552759874714,0.199,0.064,3.95744487023367e-47,"3","Ctnna2"
"Opcml",7.8883353215519e-52,1.39065560836561,0.245,0.091,4.47655141162749e-47,"3","Opcml"
"Csmd3",1.49098220578928e-49,1.38542470561768,0.189,0.06,8.46117491963356e-45,"3","Csmd3"
"Erbb4",2.64163411990279e-49,1.47307704643134,0.184,0.058,1.49910094670364e-44,"3","Erbb4"
"Prkn",2.55110006499277e-48,1.51540648460059,0.301,0.137,1.44772377588274e-43,"3","Prkn"
"Cacna2d3",2.55127537255657e-48,1.48844697979886,0.177,0.055,1.44782326117213e-43,"3","Cacna2d3"
"Erc2",3.12767004749124e-48,1.54921262387002,0.192,0.065,1.7749214752508e-43,"3","Erc2"
"Nalf1",4.55380173272958e-48,1.44053050613825,0.161,0.047,2.58423694530671e-43,"3","Nalf1"
"Cdh18",9.72446331421061e-48,1.47498670875814,0.168,0.051,5.51853568618138e-43,"3","Cdh18"
"Sorcs3",1.27938641136744e-47,1.46573242638637,0.162,0.047,7.26038994586908e-43,"3","Sorcs3"
"Nrg3",1.38216932715102e-47,1.44302023251023,0.165,0.049,7.84367271464932e-43,"3","Nrg3"
"Grm8",2.30915275781952e-47,1.45372216362077,0.182,0.058,1.310421098535e-42,"3","Grm8"
"Sdk1",5.05116848504832e-47,1.30486271552957,0.289,0.126,2.86648760358007e-42,"3","Sdk1"
"Gm10718",9.28255275796175e-47,1.52509359361493,0.191,0.064,5.26775586461572e-42,"3","Gm10718"
"Cadm2",9.87864838464243e-47,1.47755688256352,0.181,0.059,5.60603417180074e-42,"3","Cadm2"
"Lingo2",1.70474458214164e-46,1.44436200886259,0.195,0.066,9.6742550291956e-42,"3","Lingo2"
"Agbl1",2.8923597965864e-46,1.4320954891199,0.183,0.06,1.64138526096482e-41,"3","Agbl1"
"Rbfox1",3.13095555751111e-46,1.69922387073022,0.334,0.173,1.77678596933198e-41,"3","Rbfox1"
"Cntnap5b",8.28812169603814e-46,1.39382184854276,0.164,0.05,4.70342618128469e-41,"3","Cntnap5b"
"Dmd",7.54886841148103e-45,1.63309374417855,0.276,0.124,4.28390733483137e-40,"3","Dmd"
"Cdh12",3.54748662880564e-44,1.33174468105763,0.18,0.06,2.01316318698092e-39,"3","Cdh12"
"Gm41335",4.11704621664495e-44,1.30865408155317,0.144,0.041,2.33638255748384e-39,"3","Gm41335"
"Thsd7b",5.83415404675688e-44,1.28933492859643,0.178,0.058,3.31082407999406e-39,"3","Thsd7b"
"Adarb2",1.81450255052181e-43,1.40306397568713,0.168,0.054,1.02971205239562e-38,"3","Adarb2"
"Sgcz",3.55092378067834e-43,1.36034775300032,0.171,0.056,2.01511373629715e-38,"3","Sgcz"
"Dlgap2",4.18885352277097e-43,1.53985834229799,0.196,0.071,2.3771324856373e-38,"3","Dlgap2"
"Lrrc4c",6.75199818445339e-43,1.48327710535718,0.197,0.071,3.83169144969545e-38,"3","Lrrc4c"
"Skint5",1.16869251530519e-42,1.3617174001135,0.132,0.036,6.63221315510545e-38,"3","Skint5"
