"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Itgam",1.47791571914841e-131,1.28755560195741,0.278,0.085,8.38702391459532e-127,"0","Itgam"
"B4galt5",6.7527581812385e-131,1.35626272046602,0.243,0.067,3.83212274027103e-126,"0","B4galt5"
"Slc15a3",1.54794588743297e-127,1.16452933216511,0.333,0.122,8.78443811659336e-123,"0","Slc15a3"
"Etv6",1.58353524730911e-125,1.50647678667007,0.555,0.399,8.98640417495448e-121,"0","Etv6"
"Msn",3.66421391774992e-125,1.31565030422596,0.38,0.165,2.0794047561839e-120,"0","Msn"
"Cd83",9.57533461101151e-125,1.22445694677366,0.113,0.011,5.43390663840292e-120,"0","Cd83"
"Lcp1",1.14664613246627e-124,1.21190031509313,0.353,0.14,6.50710213713286e-120,"0","Lcp1"
"Lair1",1.56018194016348e-120,1.03329403453034,0.125,0.016,8.85387649223372e-116,"0","Lair1"
"Aif1",1.0206529073627e-119,1.16377236579055,0.121,0.014,5.79210318399258e-115,"0","Aif1"
"Ctsz",1.27556111877661e-119,1.17334183679962,0.157,0.028,7.2386817929454e-115,"0","Ctsz"
"Hk3",3.48740792982668e-119,1.17278449805372,0.168,0.033,1.97906912609734e-114,"0","Hk3"
"Ucp2",1.28456189709579e-118,1.19753917617954,0.145,0.024,7.28976030982891e-114,"0","Ucp2"
"Marchf1",4.44340445278555e-116,1.4500727821318,0.3,0.111,2.52158759291127e-111,"0","Marchf1"
"Arg1",6.01105346651148e-116,1.55825262275949,0.134,0.02,3.4112127317106e-111,"0","Arg1"
"Malt1",1.77530384434954e-115,2.07594595197679,0.389,0.208,1.00746717862992e-110,"0","Malt1"
"Myo1f",7.96810617103569e-115,1.20573141252781,0.226,0.064,4.52182057100104e-110,"0","Myo1f"
"Slc16a10",8.11301978842155e-115,1.47125407827173,0.167,0.035,4.60405759973135e-110,"0","Slc16a10"
"Srgn",1.28872313136722e-114,0.699722275108647,0.423,0.192,7.31337489819585e-110,"0","Srgn"
"Fth1",4.5872631626093e-113,1.44675387138879,0.68,0.593,2.60322597214915e-108,"0","Fth1"
"Xist",6.26113175603164e-112,1.17450369536891,0.356,0.151,3.55312966023039e-107,"0","Xist"
"Elmo1",2.25765383301413e-111,1.15593595755219,0.404,0.192,1.28119597369719e-106,"0","Elmo1"
"Mafb",5.76190702632085e-110,1.19181296020765,0.136,0.023,3.26982461836682e-105,"0","Mafb"
"Inpp5d",9.22301317257251e-109,1.17976433232058,0.268,0.092,5.23396774530317e-104,"0","Inpp5d"
"Hcls1",1.30886680108741e-108,1.19532522648144,0.168,0.037,7.42768820949094e-104,"0","Hcls1"
"Pla2g7",5.92907002936685e-108,1.58931777364798,0.277,0.105,3.3646879509654e-103,"0","Pla2g7"
"Pirb",3.84686383106183e-104,1.07172131161212,0.143,0.027,2.18305675548928e-99,"0","Pirb"
"Samhd1",6.83707749006645e-104,1.10297060860572,0.437,0.242,3.87997310483781e-99,"0","Samhd1"
"Htr7",9.21004172540005e-104,1.30067722108377,0.153,0.032,5.22660657874727e-99,"0","Htr7"
"Nampt",1.15945887289819e-103,1.44985468950537,0.365,0.181,6.57981315780996e-99,"0","Nampt"
"Ptprj",3.37024871164073e-102,1.33768261995357,0.598,0.511,1.912582441369e-97,"0","Ptprj"
"Cmklr1",1.05116499376398e-100,1.11056421410467,0.127,0.022,5.96525622311118e-96,"0","Cmklr1"
"Atp8b4",9.31748334336663e-100,1.17252368960763,0.193,0.053,5.28757862252713e-95,"0","Atp8b4"
"Klra2",6.35678192458204e-99,1.20576341195475,0.176,0.045,3.60741017438106e-94,"0","Klra2"
"Pim1",3.52563966837012e-97,1.07808649946265,0.358,0.168,2.00076525540336e-92,"0","Pim1"
"Apoe",7.75215216730491e-97,1.6799202929675,0.159,0.038,4.39926883342386e-92,"0","Apoe"
"Plcb1",2.94193476637289e-95,1.57306905194681,0.291,0.122,1.66951856056895e-90,"0","Plcb1"
"Actb",1.66398427179293e-94,1.17490292741525,0.639,0.581,9.44294434399771e-90,"0","Actb"
"Cacna1d",2.40407440301462e-94,1.74009645926455,0.238,0.086,1.36428818296677e-89,"0","Cacna1d"
"Coro1a",2.05567068699574e-93,1.08030482934083,0.149,0.033,1.16657255816321e-88,"0","Coro1a"
"Gda",3.06078684332921e-93,1.07974514607113,0.303,0.126,1.73696592572089e-88,"0","Gda"
